SEASON_ID,PTS,REB,AST,Player_Name,MIN
22020,18,4,2,Kyle Anderson,32
22020,18,11,5,Kyle Anderson,29
22020,9,4,9,Kyle Anderson,28
22020,28,7,3,Kyle Anderson,37
22020,20,14,1,Kyle Anderson,36
22020,7,10,2,Kyle Anderson,29
22020,15,9,4,Giannis Antetokounmpo,34
22020,40,15,6,Giannis Antetokounmpo,35
22020,27,12,5,Giannis Antetokounmpo,32
22020,28,3,4,Giannis Antetokounmpo,29
22020,17,11,7,Giannis Antetokounmpo,29
22020,23,9,8,Giannis Antetokounmpo,30
22020,36,12,4,Giannis Antetokounmpo,37
22020,49,8,4,Giannis Antetokounmpo,36
22020,29,12,8,Giannis Antetokounmpo,37
22020,31,14,4,Giannis Antetokounmpo,35
22020,24,14,7,Giannis Antetokounmpo,24
22020,27,16,6,Giannis Antetokounmpo,35
22020,33,8,2,Giannis Antetokounmpo,35
22020,28,11,8,Giannis Antetokounmpo,29
22020,15,5,2,Giannis Antetokounmpo,25
22020,47,12,2,Giannis Antetokounmpo,33
22020,25,10,4,Giannis Antetokounmpo,36
22020,32,6,3,Giannis Antetokounmpo,34
22020,16,8,5,Giannis Antetokounmpo,27
22020,13,8,7,Giannis Antetokounmpo,33
22020,26,9,15,Giannis Antetokounmpo,34
22020,32,15,5,Giannis Antetokounmpo,43
22020,31,15,10,Giannis Antetokounmpo,36
22020,33,11,11,Giannis Antetokounmpo,36
22020,24,10,10,Giannis Antetokounmpo,29
22020,26,11,8,Giannis Antetokounmpo,36
22020,27,8,3,Giannis Antetokounmpo,33
22020,36,14,5,Giannis Antetokounmpo,40
22020,38,10,4,Giannis Antetokounmpo,38
22020,37,8,8,Giannis Antetokounmpo,29
22020,38,18,4,Giannis Antetokounmpo,33
22020,29,19,8,Giannis Antetokounmpo,36
22020,23,12,8,Giannis Antetokounmpo,37
22020,34,10,8,Giannis Antetokounmpo,37
22020,24,17,10,Giannis Antetokounmpo,36
22020,29,15,6,Giannis Antetokounmpo,39
22020,47,11,5,Giannis Antetokounmpo,38
22020,30,9,0,Giannis Antetokounmpo,34
22020,24,11,5,Giannis Antetokounmpo,32
22020,33,12,4,Giannis Antetokounmpo,33
22020,21,14,10,Giannis Antetokounmpo,31
22020,18,4,6,Giannis Antetokounmpo,26
